std_es,std_nq,ratio_std,nan_es_pct,nan_nq_pct,nan_max_pct,nunique_avg,valid,score,feature,reason
1.0449869620565928,1.0405405800717389,1.0042731461607652,0.0,0.0,0.0,350361.5,True,174807.26151080063,rvol_zscore,
1.0450643030038633,1.0406178745465935,1.0042728734207138,0.014800604547770374,0.014856124151486755,0.014856124151486755,350361.5,True,174781.31956862184,vol_zscore_20,
0.040841244161129,0.04165295511484146,1.0198748111724854,0.037001511369425935,0.03714031037871689,0.03714031037871689,346554.5,True,171508.5625,vwap_slope_10_atr,
12.801458358764648,13.41319465637207,1.0477864742279053,0.0,0.0,0.0,349929.0,True,170881.578125,dist_vwap_d_atr,
0.9234557747840881,0.9220544099807739,1.001519799232483,0.0,0.0,0.0,321105.0,True,160430.59375,ctx_vol_z_5,
0.011963131574490702,0.014869831576230508,1.2429714981934863,0.0,0.00028569469522089915,0.00028569469522089915,344226.5,True,153468.52014981135,vwap_offset_pct,
1.374675989151001,1.7546231746673584,1.2763903141021729,0.0,0.0,0.0,349328.5,True,153457.203125,dist_vwap_m_sd2u_pct,
1.2741752862930298,1.655177354812622,1.2990186214447021,0.0,0.0,0.0,349835.5,True,152167.3125,dist_vwap_m_sd1u_pct,
0.7125928997993469,0.938532829284668,1.3170673847198486,0.0,0.0,0.0,349648.5,True,150901.3125,dist_vwap_w_sd1d_pct,
0.8647192120552063,1.1369916200637817,1.3148679733276367,0.0,0.0,0.0,349136.5,True,150823.5,dist_vwap_w_sd2d_pct,
0.6316514015197754,0.842649519443512,1.3340420722961426,0.0,0.0,0.0,349955.0,True,149935.171875,dist_vwap_w_pct,
1.4023112058639526,1.8725937604904175,1.335362434387207,0.0,0.0,0.0,349858.0,True,149808.859375,dist_vwap_m_pct,
0.3930605351924896,0.5264480113983154,1.3393560647964478,0.0,0.0,0.0,349446.0,True,149377.015625,dist_vwap_d_sd2d_pct,
0.30614998936653137,0.4142917990684509,1.353231430053711,0.0,0.0,0.0,349795.5,True,148644.75,dist_vwap_d_sd1d_pct,
0.6490947604179382,0.8833985924720764,1.360970139503479,0.0,0.0,0.0,350032.0,True,148257.703125,dist_vwap_w_sd1u_pct,
1.7083901166915894,2.319415330886841,1.3576613664627075,0.0,0.0,0.0,349046.0,True,148047.5625,dist_vwap_m_sd1d_pct,
0.2676926553249359,0.3683008551597595,1.3758347034454346,0.0,0.0,0.0,350049.0,True,147337.265625,dist_vwap_d_pct,
2.1165733337402344,2.8911683559417725,1.365966558456421,0.0,0.0,0.0,348162.0,True,147154.234375,dist_vwap_m_sd2d_pct,
0.3789767026901245,0.5217416286468506,1.3767116069793701,0.0,0.0,0.0,349550.5,True,147073.171875,dist_vwap_d_sd2u_pct,
0.7581623196601868,1.0449155569076538,1.3782213926315308,0.0,0.0,0.0,349488.0,True,146953.515625,dist_vwap_w_sd2u_pct,
0.29713836312294006,0.41130414605140686,1.384217619895935,0.0,0.0,0.0,349986.5,True,146793.015625,dist_vwap_d_sd1u_pct,
1.153074860572815,1.5097458362579346,1.309321641921997,0.0,0.0,0.0,325466.5,True,140935.96875,vwap_m_minus_w_pct,
0.021682918748223777,0.027393717427069825,1.2633777650120959,0.0,0.0,0.0,296234.5,True,130881.5985467706,atr_14m_pct,
