pt_sl,horizon,score_es,score_nq,total,fine_es,fine_nq,total_fine,es_pos,es_neg,es_hold,nq_pos,nq_neg,nq_hold
"(1.5, 1.0)",4,1.5,1.5,3.0,1.0907341411261582,1.055777460770328,2.1465116018964863,0.5046329294369208,0.48610121168923737,0.009265858873841768,0.5221112696148359,0.47503566333808844,0.0028530670470756064
"(1.5, 1.0)",6,1.5,1.5,3.0,1.1042918454935622,1.067880085653105,2.172171931146667,0.4978540772532189,0.4949928469241774,0.00715307582260372,0.5160599571734475,0.483226266952177,0.0007137758743754461
"(1.5, 1.0)",8,1.5,1.5,3.0,1.0870875179340027,1.1007147962830592,2.1878023142170617,0.4913916786226686,0.5064562410329986,0.002152080344332855,0.4996426018584703,0.498927805575411,0.0014295925661186562
"(1.5, 1.0)",12,1.5,1.5,3.0,1.0739884393063583,1.0770114942528735,2.150999933559232,0.48554913294797686,0.5130057803468208,0.001445086705202312,0.48563218390804597,0.5114942528735632,0.0028735632183908046
"(1.5, 1.0)",16,1.5,1.5,3.0,1.0754335260115606,1.069914040114613,2.1453475661261736,0.48554913294797686,0.5122832369942196,0.002167630057803468,0.4813753581661891,0.5150429799426934,0.0035816618911174787
"(1.5, 1.0)",24,1.5,1.5,3.0,1.0721815519765738,1.06764917325665,2.1398307252332236,0.48462664714494874,0.513909224011713,0.0014641288433382138,0.48166786484543495,0.516175413371675,0.002156721782890007
"(1.5, 1.5)",4,0.5,0.5,1.0,-0.043264433357092014,-0.05834522111269613,-0.10160965446978815,0.571632216678546,0.41767640769779046,0.010691375623663579,0.579172610556348,0.4172610556348074,0.003566333808844508
"(1.5, 1.5)",6,0.5,0.5,1.0,-0.050214592274678116,-0.08629550321199148,-0.1365100954866696,0.575107296137339,0.41630901287553645,0.008583690987124463,0.5931477516059958,0.4039971448965025,0.0028551034975017845
"(1.5, 1.5)",8,0.5,0.5,1.0,-0.05781922525107597,-0.07798427448177281,-0.13580349973284878,0.578909612625538,0.4167862266857963,0.00430416068866571,0.5889921372408864,0.40671908506075766,0.004288777698355968
"(1.5, 1.5)",12,0.5,0.5,1.0,-0.06763005780346826,-0.09540229885057477,-0.16303235665404303,0.5838150289017341,0.41184971098265893,0.004335260115606936,0.5977011494252874,0.39511494252873564,0.007183908045977011
"(1.5, 1.5)",16,0.5,0.5,1.0,-0.08641618497109832,-0.09484240687679091,-0.18125859184788923,0.5932080924855492,0.4031791907514451,0.0036127167630057803,0.5974212034383954,0.3954154727793696,0.0071633237822349575
"(1.5, 1.5)",24,0.5,0.5,1.0,-0.10497803806734984,-0.11782890007189073,-0.22280693813924057,0.6024890190336749,0.39604685212298685,0.0014641288433382138,0.6089144500359454,0.38533429187634793,0.005751258087706686
"(2.0, 1.5)",4,1.5,1.5,3.0,0.9880969351389879,0.9701854493580597,1.9582823844970476,0.5559515324305061,0.43264433357091947,0.011404133998574484,0.5649072753209701,0.43152639087018546,0.003566333808844508
