feat,h,seg,n_fire,fire_rate,wr_up,mean_ticks,std_ticks,min_ticks,max_ticks,sharpe,pf,symbol
bar_edge_buy,5,all,119,0.19381107491856678,0.453781512605042,0.33613445378151263,21.850135674606648,-107.0,59.0,0.015383632338574949,1.0432900432900434,ES
bar_edge_buy,5,range,16,0.24242424242424243,0.5,-6.375,34.24203070302149,-107.0,28.0,-0.18617470602440936,0.5466666666666666,ES
bar_edge_buy,5,trend,103,0.18795620437956204,0.44660194174757284,1.3786407766990292,19.28024311581645,-45.0,59.0,0.07150536268376008,1.2031473533619457,ES
bar_edge_buy,5,BULL,33,0.14732142857142858,0.42424242424242425,0.9696969696969697,14.704346399289669,-23.0,39.0,0.06594628168429623,1.1893491124260356,ES
bar_edge_buy,5,BEAR,86,0.2205128205128205,0.46511627906976744,0.09302325581395349,24.107420340183154,-107.0,59.0,0.003858698048046233,1.0105960264900662,ES
bar_edge_buy,10,all,119,0.19381107491856678,0.48739495798319327,-1.0084033613445378,31.482170310020578,-154.0,65.0,-0.03203093533203898,0.909297052154195,ES
bar_edge_buy,10,range,16,0.24242424242424243,0.625,7.25,46.83374851536016,-93.0,65.0,0.15480289811667328,1.489451476793249,ES
bar_edge_buy,10,trend,103,0.18795620437956204,0.46601941747572817,-2.29126213592233,28.489981406597273,-154.0,59.0,-0.08042343387810465,0.7826887661141805,ES
bar_edge_buy,10,BULL,33,0.14732142857142858,0.45454545454545453,1.878787878787879,18.577132407474746,-34.0,59.0,0.10113443977665736,1.3115577889447236,ES
bar_edge_buy,10,BEAR,86,0.2205128205128205,0.5,-2.116279069767442,35.23514909680595,-154.0,65.0,-0.06006158974645067,0.8380782918149466,ES
bar_edge_buy,15,all,119,0.19381107491856678,0.5210084033613446,-0.9159663865546218,39.71542411212098,-168.0,125.0,-0.02306324071840919,0.9344951923076923,ES
bar_edge_buy,15,range,16,0.24242424242424243,0.6875,4.5,51.946125938321906,-102.0,76.0,0.08662821179882471,1.2432432432432432,ES
bar_edge_buy,15,trend,103,0.18795620437956204,0.49514563106796117,-1.7572815533980584,37.717335178002095,-168.0,125.0,-0.04659081944835721,0.8676900584795322,ES
bar_edge_buy,15,BULL,33,0.14732142857142858,0.5757575757575758,3.303030303030303,20.00700634853458,-42.0,64.0,0.1650936799501311,1.5618556701030928,ES
bar_edge_buy,15,BEAR,86,0.2205128205128205,0.5,-2.5348837209302326,45.04917513756001,-168.0,125.0,-0.05626925938451844,0.8517006802721089,ES
bar_edge_buy,30,all,117,0.19381107491856678,0.5299145299145299,2.700854700854701,53.334543531804485,-168.0,131.0,0.05063987655942881,1.14548802946593,ES
bar_edge_buy,30,range,16,0.24242424242424243,0.75,27.3125,48.250345421906914,-76.0,87.0,0.5660581237421226,3.6325301204819276,ES
bar_edge_buy,30,trend,101,0.18795620437956204,0.49504950495049505,-1.198019801980198,53.27495092479769,-168.0,131.0,-0.022487487668432046,0.9396809571286141,ES
bar_edge_buy,30,BULL,31,0.14732142857142858,0.5806451612903226,5.67741935483871,22.229690501330563,-33.0,46.0,0.2553980386836015,1.8712871287128714,ES
bar_edge_buy,30,BEAR,86,0.2205128205128205,0.5116279069767442,1.627906976744186,60.853932448045164,-168.0,131.0,0.026751056361185563,1.0710659898477157,ES
bar_edge_buy,60,all,113,0.19381107491856678,0.40707964601769914,-11.814159292035399,63.2775277014685,-135.0,129.0,-0.18670386977799894,0.6146073903002309,ES
bar_edge_buy,60,range,16,0.24242424242424243,0.6875,18.5625,74.98974929948758,-106.0,107.0,0.24753383193240394,1.7857142857142858,ES
bar_edge_buy,60,trend,97,0.18795620437956204,0.36082474226804123,-16.824742268041238,60.112916372245934,-135.0,129.0,-0.2798856432713239,0.4711600777705768,ES
bar_edge_buy,60,BULL,27,0.14732142857142858,0.37037037037037035,-1.8888888888888888,29.45052348148218,-59.0,60.0,-0.06413770166131144,0.8482142857142857,ES
bar_edge_buy,60,BEAR,86,0.2205128205128205,0.4186046511627907,-14.930232558139535,70.49468744233383,-135.0,129.0,-0.2117923080393965,0.5895140664961637,ES
bar_edge_sell,5,all,142,0.23452768729641693,0.5,-0.47183098591549294,20.282296253249164,-67.0,44.0,-0.023263193673972875,1.0636882129277567,ES
bar_edge_sell,5,range,11,0.16666666666666666,0.7272727272727273,-8.181818181818182,19.999090888428814,-65.0,11.0,-0.40910950537971474,6.294117647058823,ES
bar_edge_sell,5,trend,131,0.2427007299270073,0.48091603053435117,0.17557251908396945,20.247499718780297,-67.0,44.0,0.008671318509141561,0.9777777777777777,ES
bar_edge_sell,5,BULL,52,0.24107142857142858,0.38461538461538464,3.75,12.653566497159575,-25.0,30.0,0.2963591332566535,0.47580645161290325,ES
bar_edge_sell,5,BEAR,90,0.23076923076923078,0.5666666666666667,-2.911111111111111,23.3139994806826,-67.0,44.0,-0.12486536741146965,1.3852941176470588,ES
bar_edge_sell,10,all,140,0.23452768729641693,0.4785714285714286,-1.9785714285714286,30.984207594299708,-154.0,59.0,-0.0638574158298493,1.202337472607743,ES
bar_edge_sell,10,range,11,0.16666666666666666,0.5454545454545454,-16.454545454545453,49.37684403921262,-101.0,39.0,-0.33324417091430214,2.265734265734266,ES
bar_edge_sell,10,trend,129,0.2427007299270073,0.4728682170542636,-0.7441860465116279,28.853151655670413,-154.0,59.0,-0.02579219266466453,1.0783034257748776,ES
bar_edge_sell,10,BULL,50,0.24107142857142858,0.4,4.62,16.201398276767627,-24.0,55.0,0.28516057199456646,0.46153846153846156,ES
bar_edge_sell,10,BEAR,90,0.23076923076923078,0.5222222222222223,-5.644444444444445,36.287649525904214,-154.0,59.0,-0.1555472596884394,1.5404255319148936,ES
bar_edge_sell,15,all,139,0.23452768729641693,0.4892086330935252,-3.194244604316547,37.701320027988125,-141.0,109.0,-0.08472500702523222,1.2694174757281553,ES
bar_edge_sell,15,range,10,0.16666666666666666,0.5,-23.5,66.80859891427816,-116.0,52.0,-0.3517511275726797,2.3583815028901736,ES
bar_edge_sell,15,trend,129,0.2427007299270073,0.4883720930232558,-1.62015503875969,34.40775571147841,-141.0,109.0,-0.04708691413349347,1.1416949152542373,ES
bar_edge_sell,15,BULL,49,0.24107142857142858,0.32653061224489793,7.224489795918367,18.44955431499007,-33.0,53.0,0.3915807217986271,0.34806629834254144,ES
bar_edge_sell,15,BEAR,90,0.23076923076923078,0.5777777777777777,-8.866666666666667,43.909815646531236,-141.0,109.0,-0.20192903422415492,1.7221719457013576,ES
bar_edge_sell,30,all,137,0.23452768729641693,0.5474452554744526,-5.985401459854015,56.75864606350864,-167.0,131.0,-0.10545356302282738,1.3123809523809524,ES
bar_edge_sell,30,range,10,0.16666666666666666,0.5,1.4,58.00804541900488,-75.0,59.0,0.02413458322657413,0.9485294117647058,ES
bar_edge_sell,30,trend,127,0.2427007299270073,0.5511811023622047,-6.566929133858268,56.85243926181838,-167.0,131.0,-0.11550830921256626,1.3544411389715256,ES
bar_edge_sell,30,BULL,47,0.24107142857142858,0.44680851063829785,9.106382978723405,28.79178177019117,-33.0,85.0,0.3162841067319835,0.4463130659767141,ES
bar_edge_sell,30,BEAR,90,0.23076923076923078,0.6,-13.866666666666667,65.6602080513633,-167.0,131.0,-0.2111882840153073,1.673866090712743,ES
bar_edge_sell,60,all,133,0.23452768729641693,0.5789473684210527,-14.774436090225564,60.28186527414026,-174.0,129.0,-0.2450892324381744,1.9698914116485686,ES
bar_edge_sell,60,range,10,0.16666666666666666,0.7,-36.7,67.59199492379092,-90.0,105.0,-0.542963705107917,3.279503105590062,ES
bar_edge_sell,60,trend,123,0.2427007299270073,0.5691056910569106,-12.991869918699187,59.59968862485492,-174.0,129.0,-0.21798553345232058,1.8568364611260053,ES
bar_edge_sell,60,BULL,43,0.24107142857142858,0.5813953488372093,2.9069767441860463,28.027889132321967,-42.0,61.0,0.10371729138638494,0.7689463955637708,ES
bar_edge_sell,60,BEAR,90,0.23076923076923078,0.5777777777777777,-23.22222222222222,69.25085125470028,-174.0,129.0,-0.3353348269536357,2.4074074074074074,ES
bar_color_up,5,all,17,0.02768729641693811,0.47058823529411764,-3.0588235294117645,18.38977497223421,-40.0,21.0,-0.16633284169402804,0.6623376623376623,ES
bar_color_up,5,range,2,0.030303030303030304,,,,,,,,ES
bar_color_up,5,trend,15,0.02737226277372263,0.4666666666666667,-4.266666666666667,18.467990325605726,-40.0,20.0,-0.23103037153533354,0.5586206896551724,ES
bar_color_up,5,BULL,5,0.022321428571428572,0.6,2.6,16.16477652180815,-21.0,20.0,0.16084354747072788,1.4814814814814814,ES
bar_color_up,5,BEAR,12,0.03076923076923077,0.4166666666666667,-5.416666666666667,19.3975552973861,-40.0,21.0,-0.27924481118078526,0.4881889763779528,ES
bar_color_up,10,all,17,0.02768729641693811,0.4117647058823529,-4.176470588235294,25.50057669474763,-60.0,34.0,-0.16377945636546115,0.6302083333333334,ES
bar_color_up,10,range,2,0.030303030303030304,,,,,,,,ES
bar_color_up,10,trend,15,0.02737226277372263,0.4,-4.866666666666666,27.052506265373925,-60.0,34.0,-0.17989707196615268,0.6075268817204301,ES
bar_color_up,10,BULL,5,0.022321428571428572,0.2,-1.2,17.383900597967074,-14.0,29.0,-0.06902938688405191,0.8285714285714286,ES
bar_color_up,10,BEAR,12,0.03076923076923077,0.5,-5.416666666666667,28.814321986039367,-60.0,34.0,-0.18798522030478712,0.5859872611464968,ES
bar_color_up,15,all,17,0.02768729641693811,0.47058823529411764,-2.235294117647059,27.20645468396403,-67.0,53.0,-0.08216043374745262,0.7877094972067039,ES
bar_color_up,15,range,2,0.030303030303030304,,,,,,,,ES
bar_color_up,15,trend,15,0.02737226277372263,0.4666666666666667,-2.8,28.834998575639688,-67.0,53.0,-0.09710421842255212,0.7558139534883721,ES
bar_color_up,15,BULL,5,0.022321428571428572,0.6,2.8,7.429670248402684,-5.0,11.0,0.3768673313899912,2.4,ES
bar_color_up,15,BEAR,12,0.03076923076923077,0.4166666666666667,-4.333333333333333,32.25278940250632,-67.0,53.0,-0.13435530425353662,0.6923076923076923,ES
bar_color_up,30,all,17,0.02768729641693811,0.7058823529411765,27.294117647058822,39.154764566209494,-44.0,75.0,0.6970829207824308,4.411764705882353,ES
bar_color_up,30,range,2,0.030303030303030304,,,,,,,,ES
bar_color_up,30,trend,15,0.02737226277372263,0.6666666666666666,24.333333333333332,40.858058597796244,-44.0,75.0,0.5955577471821003,3.6838235294117645,ES
bar_color_up,30,BULL,5,0.022321428571428572,0.8,28.0,20.062402647738878,-6.0,45.0,1.39564540151227,24.333333333333332,ES
bar_color_up,30,BEAR,12,0.03076923076923077,0.6666666666666666,27.0,45.64288254780506,-44.0,75.0,0.5915489665038008,3.4923076923076923,ES
bar_color_up,60,all,17,0.02768729641693811,0.6470588235294118,-0.5882352941176471,79.83268348828803,-148.0,107.0,-0.0073683517628037225,0.9826086956521739,ES
bar_color_up,60,range,2,0.030303030303030304,,,,,,,,ES
bar_color_up,60,trend,15,0.02737226277372263,0.6,-13.8,75.39060191524443,-148.0,71.0,-0.18304668817117523,0.64,ES
bar_color_up,60,BULL,5,0.022321428571428572,0.8,43.6,38.89472972010475,-25.0,71.0,1.1209744948129083,9.72,ES
bar_color_up,60,BEAR,12,0.03076923076923077,0.5833333333333334,-19.0,86.38707815829444,-148.0,107.0,-0.21994030131410083,0.5854545454545454,ES
bar_color_dn,5,all,19,0.03257328990228013,0.3684210526315789,-1.263157894736842,24.172624794872487,-65.0,23.0,-0.052255719244545105,1.1578947368421053,ES
bar_color_dn,5,range,1,0.015151515151515152,,,,,,,,ES
bar_color_dn,5,trend,18,0.03467153284671533,0.3333333333333333,2.2777777777777777,19.14282404501229,-43.0,23.0,0.11898859710055527,0.7302631578947368,ES
