cluster_id,symbol,direction,name,n_total_fires,n_folds_with_fires,mean_winrate,std_winrate,global_winrate,mean_ticks_gross,mean_ticks_net,global_sharpe,psr,dsr,max_dd_global,regime_concentration_top2,fires_per_active_fold,crit_stable_wr,crit_dsr_pos,crit_dd_ok,crit_n_per_fold,verdict
1,NQ,BUY,aggressor_strong_sell + n_big_sell_t1 + near_mq_hvl,31,4,0.7416666666666667,0.21147629234082532,0.6451612903225806,19.580645161290324,17.580645161290324,0.32353898072931775,0.9623696602366568,0.09013413284257416,155.0,0.7419354838709677,7.75,False,False,False,True,NOGO_NONSTATIONARY
2,NQ,BUY,n_trapped_sellers_cluster_within_0_2pct + near_gex_nearest_dn,30,2,0.3620689655172414,0.5120428415488792,0.7,18.966666666666665,16.966666666666665,0.29839246194158225,0.9332583598687755,0.0806492955473534,252.0,1.0,15.0,False,False,False,True,NOGO_NONSTATIONARY
3,NQ,BUY,bn_stack_ask + n_big_sell_t1 + n_big_t1,35,8,0.7020833333333334,0.1705354545830317,0.6857142857142857,13.285714285714286,11.285714285714286,0.11973636685780352,0.757299846923152,0.00804422522699871,745.0,0.3142857142857143,4.375,False,False,False,True,NOGO
4,ES,SELL,aggressor_strong_buy + bn_absorb_ask_at_level + bn_absorb_ask_raw,34,10,0.5285714285714286,0.32800925759231786,0.5294117647058824,1.2352941176470589,-0.7647058823529411,0.15954941171056608,0.8181798555927411,0.014963958680790751,85.0,0.3235294117647059,3.4,False,False,False,True,NOGO_NEG_NET
5,ES,BUY,bn_trapped_sellers_at_support + n_big_t1,31,10,0.47619047619047616,0.38929360217240383,0.5806451612903226,3.2580645161290325,1.2580645161290323,0.24945800966484785,0.9093850215075323,0.04426707670575702,34.0,0.45161290322580644,3.1,False,False,False,True,NOGO
