feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
ovn_broken_dn,3_IB_OVERNIGHT,3_ovn,DEAD,std<0.00e+00,False,16746,0.0,2,False,78.68,0.0
ovn_broken_up,3_IB_OVERNIGHT,3_ovn,DEAD,std<0.00e+00,False,16746,0.0,2,False,73.56,0.0
ovn_high,3_IB_OVERNIGHT,3_ovn,ALIVE,,False,16746,4.62,255,28891.75,14.46,625.6563228861037
ovn_high_lvl,3_IB_OVERNIGHT,3_ovn,DEAD,NULL>100%,False,16746,100.0,0,None,0.0,0.0
ovn_low,3_IB_OVERNIGHT,3_ovn,ALIVE,,False,16746,4.62,186,28821.75,14.9,633.3324369000658
ovn_low_lvl,3_IB_OVERNIGHT,3_ovn,DEAD,NULL>100%,False,16746,100.0,0,None,0.0,0.0
ovn_range_ticks,3_IB_OVERNIGHT,3_ovn,ALIVE,,False,16746,0.0,457,0.0,38.59,600.5638393149005
p99_trade_size_proxy,5_ORDER_FLOW,5b_microstructure,ALIVE,,False,16746,0.0,3232,1.0,10.61,1.0127947710481517
pct_in_range,1_MARKET_STRUCTURE,1b_vp_current_zones,ALIVE,,False,16746,2.87,8932,1.0,0.49,0.3126554926660756
pdh,2_NIVEAUX_VEILLE,2_prev_levels_abs,ALIVE,,False,16746,8.6,8,29250.0,40.79,389.8932411705884
pdl,2_NIVEAUX_VEILLE,2_prev_levels_abs,ALIVE,,False,16746,8.6,8,28404.0,44.69,672.187004856697
poc_bar_dist,5_ORDER_FLOW,5d_poc_dynamics,ALIVE,,False,16746,0.0,190,0.0,5.07,33.95814696555749
poc_migration_dir,5_ORDER_FLOW,5d_poc_dynamics,ALIVE,,False,16746,4.5,3,-1,51.81,0.9978318730495191
poc_position,5_ORDER_FLOW,5d_poc_dynamics,ALIVE,,False,16746,0.0,150,0.6251,18.97,0.16321051452508736
poc_separation_ticks,1_MARKET_STRUCTURE,1a_tpo_profile,ALIVE,,False,16746,0.0,40,120.0,50.67,228.2341770232579
position_in_range,1_MARKET_STRUCTURE,1b_vp_current_zones,ALIVE,,False,16746,2.89,1724,1.0,25.87,0.3470229836999863
premium_zone,1_MARKET_STRUCTURE,1b_vp_current_zones,ALIVE,,False,16746,2.89,2,1,83.71,0.36926993050941587
prev_vah,2_NIVEAUX_VEILLE,2_prev_levels_abs,ALIVE,,False,16746,51.73,5,28883.75,43.37,372.6541552318851
prev_vah_lvl,2_NIVEAUX_VEILLE,2_prev_levels_abs,ALIVE,,False,16746,2.89,6,29129.0,49.7,326.00626075339346
prev_val,2_NIVEAUX_VEILLE,2_prev_levels_abs,ALIVE,,False,16746,51.73,5,28582.75,43.37,334.3509550522211
prev_val_lvl,2_NIVEAUX_VEILLE,2_prev_levels_abs,ALIVE,,False,16746,2.89,6,28775.5,49.7,254.7907047031704
prev_vpoc,2_NIVEAUX_VEILLE,2_prev_levels_abs,ALIVE,,False,16746,51.73,5,28600.0,43.37,348.6224754012214
prev_vpoc_lvl,2_NIVEAUX_VEILLE,2_prev_levels_abs,ALIVE,,False,16746,2.89,6,29110.0,49.7,281.9164506506904
prev_vwap_sd2d,2_NIVEAUX_VEILLE,2_prev_vwap_abs,DEAD,NULL>100%,False,16746,100.0,0,None,0.0,0.0
prev_vwap_sd2u,2_NIVEAUX_VEILLE,2_prev_vwap_abs,DEAD,NULL>100%,False,16746,100.0,0,None,0.0,0.0
