feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
rvol,5_ORDER_FLOW,5d_rvol,ALIVE,,False,13338,0.0,4010,1.0075,0.12,0.737875853502213
rvol_absorb_buy,5_ORDER_FLOW,5d_rvol,ALIVE,,True,13338,0.0,2,0,98.8,0.1088664421049497
rvol_absorb_sell,5_ORDER_FLOW,5d_rvol,ALIVE,,True,13338,0.0,2,0,98.73,0.11184820998598209
rvol_buy,5_ORDER_FLOW,5d_rvol,DEAD,top_freq>98%,False,13338,0.0,2,0,97.51,0.1557938119067487
rvol_buy_strong,5_ORDER_FLOW,5d_rvol,DEAD,CONSTANT,True,13338,27.17,1,0,100.0,0.0
rvol_extreme,5_ORDER_FLOW,5d_rvol,ALIVE,,True,13338,27.17,2,0,99.25,0.08636233428502343
rvol_regime,5_ORDER_FLOW,5d_rvol,ALIVE,,False,13338,27.17,5,1,46.0,0.8815009721217791
rvol_sell,5_ORDER_FLOW,5d_rvol,DEAD,top_freq>97%,False,13338,0.0,2,0,97.44,0.15783671585856174
rvol_sell_strong,5_ORDER_FLOW,5d_rvol,DEAD,CONSTANT,True,13338,27.17,1,0,100.0,0.0
rvol_zscore,5_ORDER_FLOW,5d_rvol,ALIVE,,False,13338,0.0,4372,-1.0918,0.1,1.0624324777849914
schema_version,META,0c_observability,DEAD,CONSTANT | top_freq>100%,False,13338,39.13,1,'sierra_3.7.22+unknown',100.0,0.0
sell_vol,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,13338,0.0,1367,88.0,0.81,887.3595556444253
sess_high,10_SESSION_CALENDAR,10_session_range,ALIVE,,False,13338,34.85,234,7415.25,12.64,88.70799332891286
sess_low,10_SESSION_CALENDAR,10_session_range,ALIVE,,False,13338,34.85,141,7518.5,16.72,88.09169388341688
sess_range_atr,10_SESSION_CALENDAR,10_session_range,ALIVE,,False,13338,3.6,296,4.0745,14.05,1.4535855482389028
sess_range_ticks,10_SESSION_CALENDAR,10_session_range,ALIVE,,False,13338,0.0,184,425.0,26.03,174.21117470547082
session,META,0a_bar_meta,ALIVE,,False,13338,0.0,3,0,37.55,0.7924256522302426
session_date,META,0a_bar_meta,DEAD,std<0.00e+00,False,13338,0.0,5,'2026-06-11',40.55,0.0
session_date_trading,META,0a_bar_meta,DEAD,std<0.00e+00,False,13338,0.0,5,'2026-06-11',44.11,0.0
session_hvn_count,1_MARKET_STRUCTURE,1b_session_hvn_lvn,ALIVE,,False,13338,0.0,11,0,80.06,3.230919223521686
session_id,META,0a_bar_meta,DEAD,std<0.00e+00,False,13338,0.0,3,'Asia',37.55,0.0
session_lvn_count,1_MARKET_STRUCTURE,1b_session_hvn_lvn,ALIVE,,False,13338,0.0,11,0,80.8,3.481386070107796
session_segment,META,0a_bar_meta,DEAD,std<0.00e+00,False,13338,0.0,4,'london',38.51,0.0
single_print_above,OTHER,unclassified,DEAD,std<0.00e+00 | top_freq>96%,False,13338,65.36,2,False,95.52,0.0
single_print_below,OTHER,unclassified,DEAD,std<0.00e+00 | top_freq>95%,False,13338,65.36,2,True,95.48,0.0
single_print_count,1_MARKET_STRUCTURE,1a_tpo_profile,ALIVE,,False,13338,0.0,151,40,9.03,68.25503323940693
single_print_density,OTHER,unclassified,ALIVE,,False,13338,65.36,575,0.3367,3.03,3.073446925634271
single_print_mid,1_MARKET_STRUCTURE,1a_tpo_profile,ALIVE,,False,13338,0.0,119,7285.38,26.11,225.22395835275034
sweep_high_active,OTHER,unclassified,ALIVE,,False,13338,65.36,4,0,54.96,0.7075248710743995
sweep_high_this_bar,OTHER,unclassified,DEAD,std<0.00e+00,False,13338,65.36,2,False,90.74,0.0
sweep_low_active,OTHER,unclassified,ALIVE,,False,13338,65.36,4,0,56.0,0.6841477073652665
sweep_low_this_bar,OTHER,unclassified,DEAD,std<0.00e+00,False,13338,65.36,2,False,93.14,0.0
swing_range_ticks,1_MARKET_STRUCTURE,1c_swing,ALIVE,,False,13338,0.0,130,30.0,4.39,55.00462283065202
sym,META,0a_bar_meta,DEAD,CONSTANT | top_freq>100%,False,13338,0.0,1,'ES',100.0,0.0
ticks_count,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,13338,0.0,1724,55,0.54,1264.3104427925634
total_vol,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,13338,0.0,1869,146.0,0.41,1805.988201445214
trend_day_probability,1_MARKET_STRUCTURE,1a_tpo_concepts,ALIVE,,False,13338,0.0,4,0.0,80.14,0.11788698623076409
ts,META,0a_bar_meta,ALIVE,,False,13338,0.0,4371,1781164560000,0.07,144070846.4774442
ts_event,META,0a_bar_meta,DEAD,std<0.00e+00,False,13338,0.0,4371,'2026-06-11T07:56:00+00:00',0.07,0.0
ts_event_ns,META,0a_bar_meta,ALIVE,,False,13338,31.01,3595,1781234160000000000,0.05,142390447952765.75
ts_raw_ms,META,0a_bar_meta,ALIVE,,False,13338,53.51,2363,1781513460000,0.08,131591245.19106373
us_high,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,13338,76.08,100,7335.75,17.24,118.10404020887852
us_low,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,13338,76.08,65,7598.5,24.41,132.25473837090544
va_position_pct,1_MARKET_STRUCTURE,1b_vp_current_range,ALIVE,,False,13338,33.22,1704,0.6667,0.75,0.21728366194326754
vah_touches_20b,1_MARKET_STRUCTURE,1b_vp_current_touches,ALIVE,,False,13338,0.0,21,0.0,66.59,4.960148272632912
val_touches_20b,1_MARKET_STRUCTURE,1b_vp_current_touches,ALIVE,,False,13338,0.0,20,0.0,91.57,2.297318854092263
vix_above_hvl,9_VOLATILITY_VIX,9_vix_core,ALIVE,,True,13338,0.0,2,0,73.01,0.443910504815075
vix_above_hvl_0dte,9_VOLATILITY_VIX,9_vix_core,ALIVE,,False,13338,0.0,2,1,66.01,0.473685468393983
vix_level,9_VOLATILITY_VIX,9_vix_core,ALIVE,,False,13338,0.0,480,22.22,19.84,2.0721678821979705
