feature,family,subfamily,data_type,dtype_observed,n_total,n_null_pct,n_unique,top_value,top_freq_pct,has_negative
dist_after_low_pct,3_IB_OVERNIGHT,3_sessions_dist,event,null_only,923,100.0,0,None,0.0,False
dist_after_open_pct,3_IB_OVERNIGHT,3_sessions_dist,event,null_only,923,100.0,0,None,0.0,False
dist_asia_high_pct,3_IB_OVERNIGHT,3_sessions_dist,continuous,float,923,0.0,724,0.287189,0.54,True
dist_asia_low_pct,3_IB_OVERNIGHT,3_sessions_dist,continuous,float,923,0.0,755,1.416093,0.43,True
dist_asia_open_pct,3_IB_OVERNIGHT,3_sessions_dist,continuous,float,923,0.0,764,1.326693,0.43,True
dist_big_ask_nearest_dn,5_ORDER_FLOW,5c_big_nearest,continuous,float,923,7.04,89,-1.0,16.9,True
dist_big_ask_nearest_up,5_ORDER_FLOW,5c_big_nearest,continuous,float,923,7.04,76,0.0,16.9,False
dist_big_bid_nearest_dn,5_ORDER_FLOW,5c_big_nearest,continuous,float,923,4.33,101,-1.0,15.52,True
dist_big_bid_nearest_up,5_ORDER_FLOW,5c_big_nearest,continuous,float,923,10.94,83,0.0,14.48,False
dist_cash_high_atr,2_NIVEAUX_VEILLE,2_cash_dist,continuous,float,923,87.22,116,-0.224119,1.69,True
dist_cash_high_pct,2_NIVEAUX_VEILLE,2_cash_dist,continuous,float,923,93.07,64,0.572982,1.56,False
dist_cash_low_atr,2_NIVEAUX_VEILLE,2_cash_dist,continuous,float,923,87.22,116,0.345101,1.69,False
dist_cash_low_pct,2_NIVEAUX_VEILLE,2_cash_dist,continuous,float,923,93.07,64,-0.807541,1.56,True
dist_cluster_nearest_dn,5_ORDER_FLOW,5c_clusters_agg,continuous,float,923,12.78,123,-1.0,11.68,True
dist_cluster_nearest_up,5_ORDER_FLOW,5c_clusters_agg,continuous,float,923,11.05,93,0.0,10.6,False
dist_color_dn_nearest_pct,1_MARKET_STRUCTURE,1d_dist_pct,event,null_only,923,100.0,0,None,0.0,False
dist_color_up_nearest_pct,1_MARKET_STRUCTURE,1d_dist_pct,event,null_only,923,100.0,0,None,0.0,False
dist_cur_vah,1_MARKET_STRUCTURE,1b_vp_current_dist,continuous,float,923,0.0,652,-374.0,0.54,True
dist_cur_vah_pct,1_MARKET_STRUCTURE,1b_vp_current_dist,continuous,float,923,0.0,176,-0.32,2.49,True
dist_cur_val,1_MARKET_STRUCTURE,1b_vp_current_dist,continuous,float,923,0.0,664,-760.0,0.54,True
dist_cur_val_pct,1_MARKET_STRUCTURE,1b_vp_current_dist,continuous,float,923,0.0,177,-1.25,2.49,True
dist_cur_vpoc,1_MARKET_STRUCTURE,1b_vp_current_dist,continuous,float,923,0.0,655,-523.0,0.54,True
dist_cur_vpoc_pct,1_MARKET_STRUCTURE,1b_vp_current_dist,continuous,float,923,0.0,174,-0.97,2.38,True
dist_cur_vwap_vp,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,922,-499.9531,0.22,True
dist_delta_div_buy_nearest_atr,7_REVERSAL_EXHAUSTION,7_delta_div_zones,event,null_only,923,100.0,0,None,0.0,False
dist_delta_div_sell_nearest_atr,7_REVERSAL_EXHAUSTION,7_delta_div_zones,event,null_only,923,100.0,0,None,0.0,False
dist_edge_buy_nearest_pct,1_MARKET_STRUCTURE,1d_dist_pct,continuous,float,923,96.53,19,-0.39,9.38,True
dist_edge_sell_nearest_pct,1_MARKET_STRUCTURE,1d_dist_pct,continuous,float,923,75.3,59,-0.37,5.7,True
dist_ext_color_dn,6_SIERRA_BN,6_extensions,event,null_only,923,100.0,0,None,0.0,False
dist_ext_color_up,6_SIERRA_BN,6_extensions,event,null_only,923,100.0,0,None,0.0,False
dist_ext_edge_buy,6_SIERRA_BN,6_edge_zones,continuous,float,923,6.72,124,0.0,9.99,True
dist_ext_edge_sell,6_SIERRA_BN,6_edge_zones,continuous,float,923,13.33,131,0.0,11.12,True
dist_ext_long_dn,6_SIERRA_BN,6_extensions,continuous,float,923,33.26,296,1.0,3.08,True
dist_ext_long_up,6_SIERRA_BN,6_extensions,continuous,float,923,37.92,303,0.0,3.84,True
dist_gex_nearest_dn,8_OPTIONS_GAMMA,8_mq_gex,continuous,float,923,0.0,557,-174.0,0.76,True
dist_gex_nearest_dn_pct,8_OPTIONS_GAMMA,8_mq_gex,continuous,float,923,0.0,95,-0.13,2.93,True
dist_gex_nearest_up,8_OPTIONS_GAMMA,8_mq_gex,continuous,float,923,0.0,619,380.0,0.65,False
dist_gex_nearest_up_pct,8_OPTIONS_GAMMA,8_mq_gex,continuous,float,923,0.0,120,0.36,2.38,False
dist_ib_high,3_IB_OVERNIGHT,3_ib_dist,continuous,float,923,87.22,115,46.0,1.69,False
dist_ib_high_pct,3_IB_OVERNIGHT,3_ib_dist,continuous,float,923,93.82,57,0.739521,1.75,False
dist_ib_low,3_IB_OVERNIGHT,3_ib_dist,continuous,float,923,87.22,114,-876.0,1.69,True
dist_ib_low_pct,3_IB_OVERNIGHT,3_ib_dist,continuous,float,923,93.82,57,-0.643288,1.75,True
dist_london_high_pct,3_IB_OVERNIGHT,3_sessions_dist,continuous,float,923,45.07,400,-0.136508,0.99,True
dist_london_low_pct,3_IB_OVERNIGHT,3_sessions_dist,continuous,float,923,45.07,393,0.460645,0.99,True
dist_london_open_pct,3_IB_OVERNIGHT,3_sessions_dist,continuous,float,923,45.07,371,0.321136,0.99,True
dist_long_dn_nearest_pct,1_MARKET_STRUCTURE,1d_dist_pct,continuous,float,923,33.26,82,0.0,20.13,True
dist_long_up_nearest_pct,1_MARKET_STRUCTURE,1d_dist_pct,continuous,float,923,37.92,79,0.0,22.34,True
dist_mq_call,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,670,926.0,0.54,True
dist_mq_call_0dte,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,680,-134.0,0.54,True
dist_mq_call_0dte_pct,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,51.9,303,3.7,1.35,True
dist_mq_call_pct,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,190,0.27,2.28,True
dist_mq_hvl,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,680,346.0,0.54,True
dist_mq_hvl_0dte,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,680,-134.0,0.54,True
dist_mq_hvl_0dte_pct,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,211,-0.66,2.49,True
dist_mq_hvl_pct,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,206,-0.23,2.28,True
dist_mq_put,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,680,-2974.0,0.54,True
dist_mq_put_0dte,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,680,-134.0,0.54,True
dist_mq_put_0dte_pct,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,59.15,294,-0.645407,1.06,True
dist_mq_put_pct,8_OPTIONS_GAMMA,8_mq_dist,continuous,float,923,0.0,211,-3.1,2.82,True
dist_ny_open_pct,3_IB_OVERNIGHT,3_sessions_dist,continuous,float,923,87.22,114,0.331022,1.69,True
dist_open_830,2_NIVEAUX_VEILLE,2_cash_dist,continuous,float,923,0.0,638,24.0,0.65,True
dist_open_cash,2_NIVEAUX_VEILLE,2_cash_dist,continuous,float,923,0.0,670,-715.0,0.54,True
dist_ovn_high,3_IB_OVERNIGHT,3_ovn_dist,continuous,float,923,63.06,272,166.0,1.17,True
dist_ovn_low,3_IB_OVERNIGHT,3_ovn_dist,continuous,float,923,63.06,280,-1453.0,1.17,True
dist_pdh_atr,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,62.73,288,2.042143,1.16,False
dist_pdh_pct,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,0.0,666,1.7621,0.54,False
dist_pdl_atr,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,62.73,288,-2.845135,1.16,True
dist_pdl_pct,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,0.0,666,-1.1811,0.54,True
dist_prev_vah,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,0.0,666,1542.0,0.54,False
dist_prev_vah_pct,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,0.0,177,0.79,2.49,False
dist_prev_val,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,0.0,666,128.0,0.54,True
dist_prev_val_pct,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,0.0,181,-0.42,2.28,True
dist_prev_vpoc,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,0.0,666,1466.0,0.54,False
dist_prev_vpoc_atr,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,0.0,761,1.2334,0.54,False
dist_prev_vpoc_pct,2_NIVEAUX_VEILLE,2_prev_levels_dist,continuous,float,923,0.0,185,0.74,2.6,False
dist_prev_vwap,4_VWAP_ANCHOR,4_pvwap_dist,continuous,float,923,0.0,666,645.3203,0.54,True
dist_prev_vwap_sd1d,4_VWAP_ANCHOR,4_pvwap_dist,continuous,float,923,0.0,666,17.1484,0.54,True
dist_prev_vwap_sd1u,4_VWAP_ANCHOR,4_pvwap_dist,continuous,float,923,0.0,666,1255.0391,0.54,False
dist_sess_high,10_SESSION_CALENDAR,10_session_range,continuous,float,923,0.0,619,146.0,0.65,True
dist_sess_high_pct,10_SESSION_CALENDAR,10_session_range,continuous,float,923,0.0,142,0.14,2.71,False
dist_sess_low,10_SESSION_CALENDAR,10_session_range,continuous,float,923,0.0,666,-1911.0,0.54,True
dist_sess_low_pct,10_SESSION_CALENDAR,10_session_range,continuous,float,923,0.0,177,-2.18,2.6,True
dist_session_hvn_above,1_MARKET_STRUCTURE,1b_session_hvn_lvn,continuous,float,923,44.85,158,1.0,12.77,False
dist_session_hvn_below,1_MARKET_STRUCTURE,1b_session_hvn_lvn,continuous,float,923,18.31,318,1.0,9.15,False
dist_session_lvn_above,1_MARKET_STRUCTURE,1b_session_hvn_lvn,continuous,float,923,31.96,343,1.0,2.39,False
dist_session_lvn_below,1_MARKET_STRUCTURE,1b_session_hvn_lvn,continuous,float,923,5.96,487,1.0,1.96,False
dist_swing_high,1_MARKET_STRUCTURE,1c_swing,continuous,float,923,0.0,592,80.0,0.87,True
dist_swing_low,1_MARKET_STRUCTURE,1c_swing,continuous,float,923,0.0,622,-261.0,0.65,True
dist_us_high_pct,3_IB_OVERNIGHT,3_sessions_dist,continuous,float,923,87.22,116,-0.540457,1.69,True
dist_us_low_pct,3_IB_OVERNIGHT,3_sessions_dist,continuous,float,923,87.22,115,0.764378,1.69,False
dist_vix_call,9_VOLATILITY_VIX,9_vix_dist,continuous,float,923,0.0,139,2.78,46.48,False
dist_vix_call_0dte,9_VOLATILITY_VIX,9_vix_dist,event,null_only,923,100.0,0,None,0.0,False
dist_vix_gex_nearest_dn,9_VOLATILITY_VIX,9_vix_dist,continuous,float,923,0.0,139,-0.22,46.48,True
dist_vix_gex_nearest_up,9_VOLATILITY_VIX,9_vix_dist,continuous,float,923,0.0,126,0.28,46.59,False
dist_vix_hvl,9_VOLATILITY_VIX,9_vix_dist,continuous,float,923,0.0,139,-0.72,46.48,True
dist_vix_hvl_0dte,9_VOLATILITY_VIX,9_vix_dist,continuous,float,923,0.0,139,-3.22,46.48,True
dist_vix_put,9_VOLATILITY_VIX,9_vix_dist,continuous,float,923,0.0,139,-4.22,46.48,True
dist_vix_put_0dte,9_VOLATILITY_VIX,9_vix_dist,continuous,float,923,0.0,139,-4.22,46.48,True
dist_vwap_d,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,922,-499.9453,0.22,True
dist_vwap_d_atr,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,905,-0.627,0.22,True
dist_vwap_d_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,162,-0.47,2.82,True
dist_vwap_d_sd1d,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,920,-1000.7422,0.22,True
dist_vwap_d_sd1d_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,168,-0.88,2.6,True
dist_vwap_d_sd1u,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,922,-22.1719,0.22,True
dist_vwap_d_sd1u_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,158,-0.39,2.71,True
dist_vwap_d_sd2d,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,919,-2138.75,0.22,True
dist_vwap_d_sd2d_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,171,-1.84,2.71,True
dist_vwap_d_sd2u,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,920,40.875,0.22,True
dist_vwap_d_sd2u_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,156,0.07,2.82,True
dist_vwap_d_sd3d,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,920,-1907.2734,0.22,True
dist_vwap_d_sd3d_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,174,-2.3,2.71,True
dist_vwap_d_sd3u,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,920,1138.1953,0.22,False
dist_vwap_d_sd3u_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,155,0.79,2.6,False
dist_vwap_m,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,921,3345.0234,0.22,False
dist_vwap_m_atr,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,903,5.8854,0.33,False
dist_vwap_m_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,191,2.91,2.6,False
dist_vwap_m_sd1d_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,190,0.39,2.82,True
dist_vwap_m_sd1u_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,193,5.42,2.6,False
dist_vwap_w,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,922,1273.0938,0.22,False
dist_vwap_w_atr,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,907,2.1668,0.22,False
dist_vwap_w_pct,4_VWAP_ANCHOR,4_vwap_dist,continuous,float,923,0.0,185,0.71,2.49,False
