check,%echec,n,ecart_median,%signe_inverse,exemple,note
prev_vah_lvl >= prev_vpoc_lvl,0.0%,70675,0.0,0.0,,
prev_vpoc_lvl >= prev_val_lvl,0.0%,70675,0.0,0.0,,
cur_vah >= cur_vpoc >= cur_val,0.0%,70675,0.0,0.0,,
vwap_d_sd1u-vwap_d = vwap_d-vwap_d_sd1d (bandes symetriques),0.0%,70675,0.0,0.0,,
vwap_d_sd2u-vwap_d = 2*(sd1u-vwap_d),0.0%,70675,0.0,0.0,,
sess_high >= high (monotone),0.0%,70675,0.0,0.0,,
sess_low <= low,0.0%,70675,0.0,0.0,,
ib_range_ticks = (ib_high-ib_low)/tick,0.0%,17020,0.0,0.0,,
ib_range constante apres IB (par jour),0.0%,17020,0.0,0.0,,
ib_range_atr = ib_range_ticks*tick/atr_14m,98.4%,17020,-2.011,0.0,2026-06-11 15:56:00 attendu=2.54 obtenu=2.02,
pdh = max(high) session Sierra precedente,32.7%,70371,0.0,0.0,2026-06-14 22:00:00 attendu=7406.00 obtenu=7461.75,echec: pdh defini sur une autre session (RTH ?)
pdl = min(low) session Sierra precedente,30.9%,70371,0.0,0.0,2026-06-11 22:01:00 attendu=7271.75 obtenu=7263.00,
open_cash = open 1ere barre cash,1.2%,20131,0.0,0.0,2026-06-11 15:56:00 attendu=7293.25 obtenu=7305.00,
dist_open_cash utilise open_cash (pas 1ere cloture),90.3%,20131,0.0,4.3,2026-06-11 15:56:00 attendu=4.00 obtenu=51.00,si echec + 'dist_open_cash = close1' passe: utilise la 1ere CLOTURE
dist_open_cash = (close_1ere_barre - close)/tick,1.2%,20131,0.0,0.1,2026-06-11 15:56:00 attendu=0.00 obtenu=51.00,
momentum_3b = close - close[-3] (pts),92.0%,70672,0.0,22.9,2026-06-11 15:59:00 attendu=8.00 obtenu=-1.00,
momentum_5b = close - close[-5] (pts),93.2%,70670,0.0,22.4,2026-06-11 16:01:00 attendu=10.50 obtenu=2.50,
momentum_3b en ticks ?,83.7%,70672,0.0,18.3,2026-06-11 15:59:00 attendu=32.00 obtenu=-1.00,l'un des deux doit passer
ctx_delta_sum_3 = somme delta 3 barres,0.0%,70466,0.0,0.0,2026-06-15 00:00:00 attendu=-364.00 obtenu=-106.00,
ctx_delta_sum_10 = somme delta 10 barres,0.8%,70666,0.0,0.3,2026-06-11 22:01:00 attendu=-244.00 obtenu=-34.00,
ctx_price_slope_5 = close - close[-5],75.5%,70463,0.0,6.7,2026-06-11 16:01:00 attendu=10.50 obtenu=0.97,definition supposee
atr_14m_pct = atr_14m*tick/close*100,0.0%,70675,-0.0,0.0,,
vol_per_sec = total_vol/bar_duration,0.0%,70675,0.0,0.0,,
"finish_delta_pct dans [0,1]",0.0%,70675,0.0,0.0,,
dist_1d_max_ticks = (pdh - close)/tick ?,98.6%,70442,132.68,14.1,2026-06-11 15:56:00 attendu=450.00 obtenu=340.08,'ticks' mais valeurs fractionnaires petites
dist_1d_max_ticks = (pdh-close)/atr_14m ?,100.0%,70442,241.568,14.1,2026-06-11 15:56:00 attendu=5.41 obtenu=340.08,
dist_1d_max_ticks = (pdh-close)/atr ?,100.0%,70442,247.158,11.6,2026-06-11 15:56:00 attendu=1.08 obtenu=340.08,
bool_above_vwap_d = (close > vwap_d),0.0%,70675,0.0,0.0,2026-06-11 16:59:00 attendu=0.00 obtenu=1.00,
vwap_d_side = sign(close - vwap_d),0.0%,70675,0.0,0.0,2026-06-11 16:59:00 attendu=0.00 obtenu=1.00,
inside_cur_va = val<=close<=vah,0.0%,70675,0.0,0.0,2026-07-06 16:59:00 attendu=1.00 obtenu=0.00,
bool_above_pdh <-> dist_pdh<0,2.7%,70675,0.0,0.0,2026-06-11 19:30:00 attendu=0.00 obtenu=1.00,
