check,%echec,n,ecart_median,%signe_inverse,exemple,note
"high >= max(open,close)",0.0%,82575,0.0,0.0,,
"low  <= min(open,close)",0.0%,82575,0.0,0.0,,
range_size = high-low (pts),0.0%,82575,0.0,0.0,,
bar_body_ticks = |close-open|/tick,49.2%,83179,0.0,47.4,2026-06-10 13:01:00 attendu=41.00 obtenu=-41.00,
bar_body_pct = body/range*100,49.1%,82569,-0.005,49.1,2026-06-11 00:07:00 attendu=80.60 obtenu=-80.60,
range_size_ticks = (high-low)/tick,99.9%,80352,410.0,0.0,2026-06-11 00:04:59 attendu=112.00 obtenu=1028.00,si echec massif: mesure autre chose que la barre
volume = total_vol,0.0%,82575,0.0,0.0,,
total_vol = buy+sell,0.0%,83179,0.0,0.0,,
delta_bar = buy-sell,0.0%,83179,0.0,0.0,,
ask_pct + bid_pct = 1,0.0%,83179,0.0,0.0,,
ask_pct = buy/total,0.0%,83179,0.0,0.0,,
delta_pct = delta/total,0.0%,83179,0.0,0.0,,
delta_bar_vol_norm = delta_pct,0.0%,83179,0.0,0.0,,
ask_bid_imbalance = ask_pct-bid_pct,0.0%,83179,0.0,0.0,,
cvd_bar_delta = delta_bar,0.0%,83177,0.0,0.0,2026-06-19 10:10:00 attendu=-2.00 obtenu=46.00,
delta_day = cumsum(delta_bar) par session Sierra,99.2%,83179,-11.0,8.0,2026-06-10 13:01:00 attendu=-68.00 obtenu=3421.00,si echec: autre borne de session ou autre source
delta_day = cumsum par session_date (temoin),99.2%,83179,-19.0,25.6,2026-06-10 13:01:00 attendu=-68.00 obtenu=3421.00,temoin : compare l'ancienne cle a la nouvelle
cvd_day = delta_day,9.4%,83179,0.0,2.5,2026-06-10 17:00:00 attendu=30.00 obtenu=6437.00,
cvd_session = cumsum(delta) depuis 9h30 ET,100.0%,22861,206.0,19.4,2026-06-11 13:30:00 attendu=56.00 obtenu=1794.00,
dist_vwap_d = (vwap_d-close)/tick,0.0%,80958,-0.0,0.0,,
dist_vwap_w = (vwap_w-close)/tick,0.0%,80958,0.0,0.0,,
dist_vwap_m = (vwap_m-close)/tick,0.0%,80958,0.0,0.0,,
dist_cur_vpoc = (cur_vpoc_lvl-close)/tick,0.0%,80958,0.0,0.0,,source reelle: cur_vpoc_lvl
dist_cur_vah = (cur_vah_lvl-close)/tick,0.0%,80958,0.0,0.0,,source reelle: cur_vah_lvl
dist_cur_val = (cur_val_lvl-close)/tick,0.0%,80958,0.0,0.0,,source reelle: cur_val_lvl
dist_prev_vpoc = (prev_vpoc_lvl-close)/tick,0.0%,80958,0.0,0.0,,source reelle: prev_vpoc_lvl
dist_prev_vah = (prev_vah_lvl-close)/tick,0.0%,80958,0.0,0.0,,source reelle: prev_vah_lvl
dist_prev_val = (prev_val_lvl-close)/tick,0.0%,80958,0.0,0.0,,source reelle: prev_val_lvl
dist_prev_vwap = (pvwap-close)/tick,89.8%,80958,0.0,23.6,2026-06-18 18:30:00 attendu=-4288.62 obtenu=-1153.41,
dist_prev_vwap_sd1u = (pvwap_sd1u-close)/tick,89.8%,80958,197.836,22.3,2026-06-18 18:30:00 attendu=-4047.42 obtenu=-376.71,
dist_prev_vwap_sd1d = (pvwap_sd1d-close)/tick,89.8%,80958,-118.119,20.2,2026-06-18 18:30:00 attendu=-4529.82 obtenu=-1920.17,
dist_vwap_d_sd1u = (vwap_d_sd1u-close)/tick,0.0%,80958,0.0,0.0,,
dist_vwap_d_sd2u = (vwap_d_sd2u-close)/tick,0.0%,80958,0.0,0.0,,
dist_vwap_d_sd1d = (vwap_d_sd1d-close)/tick,0.0%,80958,0.0,0.0,,
dist_pdh = (pdh-close)/tick,0.0%,67045,0.0,0.0,,
dist_pdl = (pdl-close)/tick,0.0%,67045,0.0,0.0,,
dist_sess_high = (sess_high-close)/tick,52.0%,79974,0.0,0.5,2026-06-11 06:24:59 attendu=29.00 obtenu=294.00,
dist_sess_low = (sess_low-close)/tick,49.0%,79974,0.0,0.1,2026-06-11 06:24:59 attendu=-30.00 obtenu=-1973.00,
dist_ovn_high = (ovn_high-close)/tick,0.0%,82097,0.0,0.0,,
dist_ovn_low = (ovn_low-close)/tick,0.0%,82097,0.0,0.0,,
dist_ib_high = (ib_high-close)/tick,0.0%,18845,0.0,0.0,,
dist_ib_low = (ib_low-close)/tick,0.0%,18845,0.0,0.0,,
dist_open_cash = (open_cash_lvl-close)/tick,0.0%,81339,0.0,0.0,,source reelle: open_cash_lvl
dist_open_830 = (open_830_lvl-close)/tick,0.0%,80860,0.0,0.0,,source reelle: open_830_lvl
dist_cash_high_atr = (cash_high-close)/atr_14m,98.6%,26319,-2.141,98.3,2026-06-10 13:30:00 attendu=0.28 obtenu=-0.05,teste atr_14m; sinon voir 'atr'
dist_asia_high_pct = (asia_high-close)/close*100,99.0%,77005,-0.539,97.8,2026-06-10 22:01:00 attendu=0.13 obtenu=-0.13,
dist_vwap_d_atr = dist_vwap_d/atr,0.0%,80958,-0.0,0.0,,formule retenue parmi 8 candidates
dist_vwap_d_pct = dist_vwap_d*tick/close*100,0.0%,80958,0.0,0.0,,
dist_vwap_w_atr = dist_vwap_w/atr,0.0%,80958,-0.0,0.0,,formule retenue parmi 8 candidates
dist_vwap_w_pct = dist_vwap_w*tick/close*100,0.0%,80958,-0.0,0.0,,
dist_vwap_m_atr = dist_vwap_m/atr,0.0%,80958,-0.0,0.0,,formule retenue parmi 8 candidates
dist_vwap_m_pct = dist_vwap_m*tick/close*100,0.0%,80958,-0.0,0.0,,
dist_prev_vpoc_atr = dist_prev_vpoc/atr,0.0%,80958,-0.0,0.0,,formule retenue parmi 8 candidates
dist_prev_vpoc_pct = dist_prev_vpoc*tick/close*100,81.4%,80958,-0.002,22.6,2026-06-18 22:15:00 attendu=-0.50 obtenu=-0.07,
dist_pdh_atr = -dist_pdh*tick/atr,6.7%,67045,0.0,5.9,2026-06-26 12:59:00 attendu=-1.05 obtenu=4.19,formule retenue parmi 8 candidates
dist_pdh_pct = dist_pdh*tick/close*100,0.0%,67045,-0.0,0.0,,
dist_pdl_atr = -dist_pdl*tick/atr,6.7%,67045,-0.0,6.4,2026-06-26 12:59:00 attendu=0.02 obtenu=-0.09,formule retenue parmi 8 candidates
dist_pdl_pct = dist_pdl*tick/close*100,0.0%,67045,-0.0,0.0,,
dist_cur_vwap_vp = dist_vwap_d,0.0%,80958,0.0,0.0,,
prev_vah_lvl >= prev_vpoc_lvl,0.0%,80958,0.0,0.0,,
prev_vpoc_lvl >= prev_val_lvl,0.0%,80958,0.0,0.0,,
cur_vah >= cur_vpoc >= cur_val,0.0%,79974,0.0,0.0,,
vwap_d_sd1u-vwap_d = vwap_d-vwap_d_sd1d (bandes symetriques),0.0%,80958,0.0,0.0,,
vwap_d_sd2u-vwap_d = 2*(sd1u-vwap_d),0.0%,80958,0.0,0.0,,
sess_high >= high (monotone),0.0%,82195,0.0,0.0,,
sess_low <= low,0.0%,82195,0.0,0.0,,
ib_range_ticks = (ib_high-ib_low)/tick,0.0%,18845,0.0,0.0,,
ib_range constante apres IB (par jour),1.2%,19150,0.0,0.0,2026-06-12 16:03:00 attendu=1617.00 obtenu=1589.00,
ib_range_atr = ib_range_ticks*tick/atr_14m,98.7%,19221,-2.662,0.0,2026-06-10 14:31:00 attendu=2.23 obtenu=2.78,
pdh = max(high) session Sierra precedente,29.6%,80535,0.0,0.0,2026-06-12 10:00:00 attendu=29544.25 obtenu=30324.00,echec: pdh defini sur une autre session (RTH ?)
pdl = min(low) session Sierra precedente,28.8%,80535,0.0,0.0,2026-06-11 22:01:00 attendu=28335.00 obtenu=28577.50,
open_cash = open 1ere barre cash,4.1%,22861,0.0,0.0,2026-06-11 13:30:00 attendu=28752.50 obtenu=28774.50,
dist_open_cash utilise open_cash (pas 1ere cloture),100.0%,22861,-15.0,6.5,2026-06-11 13:30:00 attendu=-88.00 obtenu=0.00,si echec + 'dist_open_cash = close1' passe: utilise la 1ere CLOTURE
dist_open_cash = (close_1ere_barre - close)/tick,1.0%,22861,0.0,1.0,2026-06-12 16:03:00 attendu=1026.00 obtenu=-135.00,
momentum_3b = close - close[-3] (pts),98.9%,83176,0.0,29.7,2026-06-10 13:04:00 attendu=-14.25 obtenu=-3.25,
momentum_5b = close - close[-5] (pts),99.0%,83174,0.0,27.0,2026-06-10 13:05:59 attendu=-1.00 obtenu=13.25,
momentum_3b en ticks ?,97.8%,83176,0.25,28.8,2026-06-10 13:04:00 attendu=-57.00 obtenu=-3.25,l'un des deux doit passer
ctx_delta_sum_3 = somme delta 3 barres,0.4%,82843,0.0,0.1,2026-06-12 00:58:00 attendu=-244.00 obtenu=-176.00,
ctx_delta_sum_10 = somme delta 10 barres,1.7%,82260,0.0,0.3,2026-06-11 05:19:59 attendu=27.00 obtenu=19.00,
ctx_price_slope_5 = close - close[-5],96.4%,82842,0.025,13.9,2026-06-10 13:05:59 attendu=-1.00 obtenu=0.58,definition supposee
atr_14m_pct = atr_14m/close*100,97.3%,83179,-0.109,0.0,2026-06-10 13:01:00 attendu=0.44 obtenu=0.11,
vol_per_sec = total_vol/bar_duration,0.0%,83179,0.0,0.0,,
"finish_delta_pct dans [0,1]",0.0%,83179,0.0,0.0,,
dist_1d_max_ticks = (pdh - close)/tick ?,100.0%,80412,710.117,18.9,2026-06-10 13:01:00 attendu=1393.00 obtenu=3229.20,'ticks' mais valeurs fractionnaires petites
dist_1d_max_ticks = (pdh-close)/atr_14m ?,100.0%,80412,1534.016,18.6,2026-06-10 13:01:00 attendu=2.77 obtenu=3229.20,
dist_1d_max_ticks = (pdh-close)/atr ?,100.0%,80412,1539.446,14.2,2026-06-10 13:01:00 attendu=0.53 obtenu=3229.20,
bool_above_vwap_d = (close > vwap_d),0.0%,83179,0.0,0.0,2026-07-10 19:22:00 attendu=0.00 obtenu=1.00,
vwap_d_side = sign(close - vwap_d),0.0%,80958,0.0,0.0,2026-07-10 19:22:00 attendu=0.00 obtenu=1.00,
inside_cur_va = val<=close<=vah,0.7%,83179,0.0,0.0,2026-06-10 13:01:00 attendu=0.00 obtenu=1.00,
bool_above_pdh <-> dist_pdh<0,4.1%,83179,0.0,0.0,2026-06-10 14:23:59 attendu=0.00 obtenu=1.00,
