symbole,cluster,representant,provenance,famille,n_membres,n_A,part_A,membres
NQ,81,n_big_ask_t3,B,ORDER FLOW,2,0,0.0,n_big_ask_t3|n_big_ask_v2_t3
NQ,80,n_big_bid_t3,B,ORDER FLOW,2,0,0.0,n_big_bid_t3|n_big_bid_v2_t3
NQ,54,big_ask_cluster_20t_t2,B,ORDER FLOW,1,0,0.0,big_ask_cluster_20t_t2
NQ,55,big_bid_cluster_20t_t2,B,ORDER FLOW,1,0,0.0,big_bid_cluster_20t_t2
NQ,56,big_ask_cluster_20t_t3,B,ORDER FLOW,1,0,0.0,big_ask_cluster_20t_t3
NQ,57,big_bid_cluster_20t_t3,B,ORDER FLOW,1,0,0.0,big_bid_cluster_20t_t3
NQ,25,bar_color_up,B,BATTLE NAVALE,1,0,0.0,bar_color_up
NQ,23,bar_color_dn,B,BATTLE NAVALE,1,0,0.0,bar_color_dn
NQ,26,bar_long_up_bar,B,BATTLE NAVALE,1,0,0.0,bar_long_up_bar
NQ,24,bar_long_dn_bar,B,BATTLE NAVALE,1,0,0.0,bar_long_dn_bar
NQ,21,bar_long_dn_up,B,BATTLE NAVALE,1,0,0.0,bar_long_dn_up
NQ,19,bar_long_up_dn,B,BATTLE NAVALE,1,0,0.0,bar_long_up_dn
NQ,11,bar_edge_buy,B,ORDER FLOW,2,0,0.0,bar_edge_buy|bar_edge_buy_fire
NQ,9,bar_edge_sell,B,ORDER FLOW,2,0,0.0,bar_edge_sell|bar_edge_sell_fire
NQ,14,bar_pressure_ask,B,BARRE / OHLC,1,0,0.0,bar_pressure_ask
NQ,16,bar_pressure_bid,B,BARRE / OHLC,1,0,0.0,bar_pressure_bid
NQ,12,dist_ext_edge_buy,B,ORDER FLOW,1,0,0.0,dist_ext_edge_buy
NQ,10,dist_ext_edge_sell,B,ORDER FLOW,1,0,0.0,dist_ext_edge_sell
NQ,7,fp_edge_buy,B,ORDER FLOW,1,0,0.0,fp_edge_buy
NQ,8,fp_edge_sell,B,ORDER FLOW,1,0,0.0,fp_edge_sell
NQ,107,price_vs_swing_mid,B,SWINGS / STRUCTURE,1,0,0.0,price_vs_swing_mid
NQ,93,open_type,B,MARKET PROFILE,1,0,0.0,open_type
NQ,97,open_zone,B,SESSION / TEMPS,1,0,0.0,open_zone
NQ,96,open_bias_conf,B,SESSION / TEMPS,1,0,0.0,open_bias_conf
NQ,127,open_direction,B,SESSION / TEMPS,2,0,0.0,open_direction|im_cross_open_signal
NQ,98,day_type,B,MARKET PROFILE,1,0,0.0,day_type
NQ,102,rule_80pct,B,AUTRES,1,0,0.0,rule_80pct
NQ,140,ma_trend,B,AUTRES,1,0,0.0,ma_trend
NQ,136,vwap_ma_align,B,VWAP,1,0,0.0,vwap_ma_align
NQ,126,vwap_slope_10_dir,B,VWAP,1,0,0.0,vwap_slope_10_dir
NQ,131,bool_above_mq_hvl,B,OPTIONS / MENTHORQ,1,0,0.0,bool_above_mq_hvl
NQ,133,bool_above_mq_call,B,OPTIONS / MENTHORQ,1,0,0.0,bool_above_mq_call
NQ,72,bool_near_level,B,AUTRES,1,0,0.0,bool_near_level
NQ,138,bool_ib_inside,B,INITIAL BALANCE,1,0,0.0,bool_ib_inside
NQ,125,vwap_triple_align,B,VWAP,1,0,0.0,vwap_triple_align
NQ,64,session_hvn_count,B,VOLUME PROFILE,3,0,0.0,session_hvn_count|session_lvn_count|lvn_confluence_count
NQ,73,profile_shape,B,MARKET PROFILE,2,0,0.0,profile_shape|is_double_dist
NQ,141,profile_skew,B,MARKET PROFILE,1,0,0.0,profile_skew
NQ,108,retest_low_count,B,SWINGS / STRUCTURE,1,0,0.0,retest_low_count
NQ,105,retest_high_delta_div,B,ORDER FLOW,1,0,0.0,retest_high_delta_div
NQ,79,retest_low_delta_div,B,ORDER FLOW,1,0,0.0,retest_low_delta_div
NQ,40,momentum_10b_r,A,SWINGS / STRUCTURE,2,1,0.5,poc_migration_dir|momentum_10b_r
NQ,145,liquidity_sweep_high_lag5,B,SWINGS / STRUCTURE,1,0,0.0,liquidity_sweep_high_lag5
NQ,142,liquidity_sweep_low_lag5,B,SWINGS / STRUCTURE,1,0,0.0,liquidity_sweep_low_lag5
