check,%echec,n,ecart_median,%signe_inverse,exemple,note
"high >= max(open,close)",0.0%,82996,0.0,0.0,,
"low  <= min(open,close)",0.0%,82996,0.0,0.0,,
range_size = high-low (pts),0.0%,82996,0.0,0.0,,
bar_body_ticks = |close-open|/tick,43.8%,83424,0.0,33.2,2026-06-10 15:58:00 attendu=11.00 obtenu=-11.00,
bar_body_pct = body/range*100,43.9%,82717,-0.003,43.9,2026-06-11 00:04:00 attendu=54.55 obtenu=-54.55,
range_size_ticks = (high-low)/tick,99.5%,81115,54.0,0.0,2026-06-11 00:04:00 attendu=22.00 obtenu=188.00,si echec massif: mesure autre chose que la barre
volume = total_vol,0.0%,82996,0.0,0.0,,
total_vol = buy+sell,0.0%,83424,0.0,0.0,,
delta_bar = buy-sell,0.0%,83424,0.0,0.0,,
ask_pct + bid_pct = 1,0.0%,83424,0.0,0.0,,
ask_pct = buy/total,0.0%,83424,0.0,0.0,,
delta_pct = delta/total,0.0%,83424,0.0,0.0,,
delta_bar_vol_norm = delta_pct,0.0%,83424,0.0,0.0,,
ask_bid_imbalance = ask_pct-bid_pct,0.0%,83424,0.0,0.0,,
cvd_bar_delta = delta_bar,0.0%,83421,0.0,0.0,2026-09-02 22:41:00 attendu=-14.00 obtenu=-4.00,
delta_day = cumsum(delta_bar) par session Sierra,98.8%,83424,-20.0,6.8,2026-06-10 15:56:00 attendu=102.00 obtenu=5387.00,si echec: autre borne de session ou autre source
delta_day = cumsum par session_date (temoin),99.8%,83424,-95.0,25.2,2026-06-10 15:56:00 attendu=102.00 obtenu=5387.00,temoin : compare l'ancienne cle a la nouvelle
cvd_day = delta_day,9.5%,83424,0.0,4.1,2026-06-10 17:00:00 attendu=48.00 obtenu=6945.00,
cvd_session = cumsum(delta) depuis 9h30 ET,100.0%,22889,1125.0,17.3,2026-06-11 13:30:00 attendu=91.00 obtenu=-2541.00,
dist_vwap_d = (vwap_d-close)/tick,0.0%,81557,0.0,0.0,,
dist_vwap_w = (vwap_w-close)/tick,0.0%,81077,-0.0,0.0,,
dist_vwap_m = (vwap_m-close)/tick,0.0%,81077,0.0,0.0,,
dist_cur_vpoc = (cur_vpoc_lvl-close)/tick,0.0%,81557,0.0,0.0,,source reelle: cur_vpoc_lvl
dist_cur_vah = (cur_vah_lvl-close)/tick,0.0%,81557,0.0,0.0,,source reelle: cur_vah_lvl
dist_cur_val = (cur_val_lvl-close)/tick,0.0%,81557,0.0,0.0,,source reelle: cur_val_lvl
dist_prev_vpoc = (prev_vpoc_lvl-close)/tick,0.0%,81557,0.0,0.0,,source reelle: prev_vpoc_lvl
dist_prev_vah = (prev_vah_lvl-close)/tick,0.0%,81557,0.0,0.0,,source reelle: prev_vah_lvl
dist_prev_val = (prev_val_lvl-close)/tick,0.0%,81557,0.0,0.0,,source reelle: prev_val_lvl
dist_prev_vwap = (pvwap-close)/tick,88.1%,81557,-0.001,25.4,2026-06-18 18:30:00 attendu=-247.67 obtenu=-81.21,
dist_prev_vwap_sd1u = (pvwap_sd1u-close)/tick,88.1%,81557,9.126,24.6,2026-06-18 18:30:00 attendu=-207.25 obtenu=29.49,
dist_prev_vwap_sd1d = (pvwap_sd1d-close)/tick,88.9%,81557,-0.016,23.2,2026-06-18 18:30:00 attendu=-288.09 obtenu=-184.89,
dist_vwap_d_sd1u = (vwap_d_sd1u-close)/tick,0.0%,81557,0.0,0.0,,
